"City1";"Country1";"City2";"Country2";"Year";"k50";"k100";"k150";"k200";"H1";"H2";"Hboth"
"Porsgrunn";"Norway";"Sigtuna Municipality";"Sweden";"1970";"1";"1";"1";"1";0;0;0
"Mo i Rana";"Norway";"Skelleftea Municipality";"Sweden";"0";"0";"0";"0";"0";0;0;0
"Oppegard";"Norway";"Sollentuna Municipality";"Sweden";"1955";"1";"1";"1";"1";0;0;0
"Odda";"Norway";"Stenungsund Municipality";"Sweden";"0";"0";"0";"0";"0";0;0;0
"Sandefjord";"Norway";"Varberg Municipality";"Sweden";"1950";"1";"1";"1";"1";0;0;0
"Bamble";"Norway";"Vastervik Municipality";"Sweden";"1940";"1";"1";"1";"1";0;0;0
"Onsoy";"Norway";"Albertslund Municipality";"Denmark";"0";"1";"1";"1";"1";0;0;0
"Bergen";"Norway";"Aarhus Municipality";"Denmark";"0";"0";"0";"0";"0";0;0;0
"Larvik";"Norway";"Frederikshavn";"Denmark";"0";"1";"1";"1";"1";0;0;0
"Leikanger";"Norway";"Ribe";"Denmark";"0";"0";"0";"0";"0";0;0;0
"Hoyanger";"Norway";"Ronne";"Denmark";"0";"0";"0";"0";"0";0;0;0
"Farsund";"Norway";"Skagen";"Denmark";"0";"0";"0";"0";"1";0;0;0
"Frogn Municipality";"Norway";"Mitte, Berlin";"WestGER";"1990";"0";"0";"0";"1";0;0;0
"Haugesund";"Norway";"Emden";"WestGER";"2009";"0";"0";"0";"0";0;0;0
"Bardu";"Norway";"Fussen";"WestGER";"1997";"0";"0";"0";"0";0;0;0
"Mandal";"Norway";"Alytus";"Lithuania";"0";"0";"0";"0";"0";0;0;0
"Ski Municipality";"Norway";"Viimsi Parish";"Estonia";"0";"1";"1";"1";"1";0;0;0
"Skien";"Norway";"Johvi";"Estonia";"2003";"1";"1";"1";"1";0;0;0
"Frogn Municipality";"Norway";"Turi";"Estonia";"2004";"0";"1";"1";"1";0;0;0
"Sirdal";"Norway";"Vaike-Maarja Parish";"Estonia";"1994";"0";"0";"0";"1";0;0;0
"Gran";"Norway";"Parnu";"Estonia";"1992";"0";"1";"1";"1";0;1;1
"Askim";"Norway";"Rapla";"Estonia";"0";"0";"1";"1";"1";0;0;0
"Aalborg";"Denmark";"Kaliningrad";"Russia";"1994";"1";"1";"1";"1";0;1;1
"Nordborg";"Denmark";"Kronstadt";"Russia";"0";"1";"1";"1";"1";0;0;0
"Herning Municipality";"Denmark";"Kursk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Nyborg";"Denmark";"Petrozavodsk";"Russia";"0";"0";"0";"0";"0";0;0;0
"Aarhus Municipality";"Denmark";"St. Petersburg";"Russia";"1989";"1";"1";"1";"1";0;0;0
